variable,coef_beta,se_beta,pval,pct_change_per_unit,ci_lo_pct,ci_hi_pct
temperature_c,0.042408293820088615,0.006829620541699691,5.316508538471896e-10,4.332037306053249,2.9447486619156527,5.738021122185244
rain_mm,-0.11901483790026655,0.018759645018953768,2.2359211242109876e-10,-11.22053723439227,-14.42557682195491,-7.895458523264964
snow_mm,-1.2191838118450329,0.25058349725904683,1.1423739202339364e-06,-70.45287713482722,-81.9193425169581,-51.714561794644645
weekend_flag,-0.005886089840267609,0.04850038807387545,0.9034045467850668,-0.5868800751805403,-9.601892221705366,9.32716022579758
